sub,avg_acc,ball,drape,rotate,wind
1,0.4758115079365078,0.4990793650793648,0.3546428571428571,0.497142857142857,0.5523809523809523
2,0.6508551587301588,0.7009999999999998,0.5338095238095237,0.6575000000000002,0.7111111111111112
3,0.5605853174603175,0.33,0.5871428571428572,0.7222222222222223,0.6029761904761904
4,0.6475800264550263,0.7526666666666667,0.8509999999999998,0.5768518518518515,0.4098015873015873
5,0.5903239989177489,0.563095238095238,0.4938257575757576,0.5543750000000001,0.75
6,0.5031249999999999,0.5399999999999999,0.5209999999999999,0.3499999999999998,0.6014999999999999
7,0.6246249999999999,0.5000000000000001,0.6949999999999996,0.6345000000000001,0.6689999999999995
8,0.4852499999999997,0.5964999999999995,0.45,0.4999999999999994,0.3944999999999998
9,0.619,0.6419999999999999,0.5140000000000001,0.698,0.6219999999999999
10,0.5203749999999998,0.6574999999999995,0.5384999999999999,0.4784999999999998,0.4069999999999999
11,0.4579999999999999,0.4654999999999998,0.3934999999999997,0.523,0.4500000000000002
12,0.5775,0.5844999999999999,0.4005000000000001,0.6749999999999998,0.6500000000000001
13,0.41325,0.4864999999999998,0.297,0.42,0.4495
14,0.6777499999999999,0.575,0.6514999999999999,0.8344999999999999,0.6499999999999999
15,0.6268749999999998,0.7154999999999998,0.4144999999999998,0.66,0.7174999999999997
16,0.6029999999999998,0.6435000000000001,0.6499999999999999,0.5819999999999995,0.5364999999999999
17,0.4569999999999999,0.5735,0.5134999999999997,0.3910000000000001,0.35
18,0.5526249999999998,0.5974999999999998,0.4019999999999999,0.6229999999999994,0.5880000000000001
19,0.4978749999999999,0.4924999999999997,0.4679999999999999,0.6110000000000001,0.42
20,0.5596249999999998,0.4909999999999999,0.536,0.8489999999999995,0.3624999999999999
21,0.531875,0.5620000000000004,0.4639999999999999,0.5409999999999997,0.5605000000000001
22,0.474375,0.3,0.595,0.6324999999999998,0.37
23,0.440875,0.5345000000000003,0.2979999999999999,0.3844999999999999,0.5464999999999999
24,0.5739375000000001,0.4702499999999999,0.6655,0.45,0.7100000000000004
